ITEM_NO,lot_number,ORDER_NUMBER,TEST_TIME,EQUIPMENT_CODE,LINE_CODE,ATTRIBUTE_VALUE,PM,ISC,IPM,VOC,VPM,FF,EFF,RS,RSH,AMBIENTTEMP,SENSORTEMP,COEF_PMAX,COEF_ISC,COEF_IMAX,COEF_VOC,COEF_VMAX,COEF_FF,DEC_CTM,ATTR_1,PS_CODE,PS_ITEM_NO,PM_NAME,PS_SUBCODE,IS_DEFAULT,IS_PRINT,PRINT_TIME,PRINT_COUNT,CALIBRATE_TIME,CALIBRATION_NO,CellSUPPLIER,GlassSUPPLIER,EVASUPPLIER,BackplaneSUPPLIER,HLTSUPPLIER,
36,1251820110701,1MO-17090039,2017-10-13 0:04:36,MATST-IVT01,102A-A,EMCY1003,303.1740,9.9725,9.4261,39.6576,32.1632,0.7666,0.1562,0.4346,492.7214,25.9,26.9375,303.1700,9.9725,9.4261,39.6576,32.1632,0.7666,97.94%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
37,422112I6104499,1MO-17542B-GNKC-01,2017-10-13 0:04:47,MATST-IVT03,102A-C,EMCY1009,324.7575,9.1066,8.5985,46.1451,37.7691,0.7728,0.1674,0.5332,866.5636,26.6,27.625,324.7575,9.1066,8.5985,46.1451,37.7691,0.7728,98.59%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
38,422112I6101792,1MO-17542B-GNKC-02,2017-10-13 0:04:51,MBTST-IVT03,102B-C,EMCY2009,327.3241,9.1633,8.6314,46.2744,37.9223,0.7719,0.2000,0.5290,173.0141,25.1,26.0625,327.3241,9.1633,8.6314,46.2744,37.9223,0.7719,98.84%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
39,422112I6101791,1MO-17542B-GNKC-02,2017-10-13 0:04:54,MBTST-IVT02,102B-B,EMCY2007,325.1842,9.1452,8.6181,46.2226,37.7326,0.7693,0.1676,0.5599,397.4337,25.3,26.0625,325.1842,9.1452,8.6181,46.2226,37.7326,0.7693,98.19%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
40,422112I6102728,1MO-17542B-GNKC-02,2017-10-13 0:05:01,MBTST-IVT01,102B-A,EMCY2003,325.4085,9.1292,8.6371,46.1629,37.6758,0.7722,0.1677,0.5525,479.2018,25.4,25.8125,325.4085,9.1292,8.6371,46.1629,37.6758,0.7722,98.78%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
41,1251820110716,1MO-17090039,2017-10-13 0:05:07,MATST-IVT01,102A-A,EMCY1002,303.7843,9.9494,9.4208,39.6182,32.2461,0.7707,0.1566,0.4352,280.5674,26,26.9375,303.7800,9.9494,9.4208,39.6182,32.2461,0.7707,98.14%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
42,422112I6101788,1MO-17542B-GNKC-02,2017-10-13 0:05:20,MBTST-IVT03,102B-C,EMCY2009,326.4369,9.1460,8.6172,46.2057,37.8820,0.7725,0.1994,0.5221,178.9829,24.9,26.0625,326.4369,9.1460,8.6172,46.2057,37.8820,0.7725,98.57%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
43,422112I6103129,1MO-17542B-GNKC-01,2017-10-13 0:05:27,MATST-IVT03,102A-C,null,323.2717,9.1319,8.5982,45.9977,37.5975,0.7696,0.1666,0.5372,420.3133,26.5,27.625,323.2717,9.1319,8.5982,45.9977,37.5975,0.7696,98.14%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
44,422112I6102749,1MO-17542B-GNKC-02,2017-10-13 0:05:35,MBTST-IVT01,102B-A,EMCY2002,324.6574,9.1143,8.6098,46.1443,37.7080,0.7719,0.1673,0.5448,789.4742,25.5,25.8125,324.6574,9.1143,8.6098,46.1443,37.7080,0.7719,98.56%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
45,1251820110717,1MO-17090039,2017-10-13 0:05:37,MATST-IVT01,102A-A,EMCY1002,303.1799,9.9657,9.4286,39.6764,32.1555,0.7668,0.1563,0.4419,234.2130,25.9,26.9375,303.1800,9.9657,9.4286,39.6764,32.1555,0.7668,97.94%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
